1067	1135		174	1191		9	0		9	24		6	6		3	9		6	16		3	7		870	869
0	0		0	0		1300	1218		2022	895		3145	3265		4546	3612		1800	1819		436	1129		888	1403
0	0		0	0		0	0		0	1158		0	0		16	815		1496	1437		1745	2043		1505	887
119	157		1064	1296		0	0		0	0		0	0		0	0		0	0		1093	0		158	767
961	985		6	0		1342	1210		2137	0		223	3332		2932	2348		0	1630		0	507		1544	915
6	6		0	6		0	0		0	2082		3170	764		2517	3628		3827	1565		1443	2334		867	1304
0	0		1021	1056		6	6		6	6		6	6		6	6		0	0		2033	517		752	298
79	124		0	0		1320	1046		50	0		0	1978		0	1058		6	6		0	3		1090	1666
1036	1036		0	0		0	0		2015	2056		3981	1918		5404	4205		3909	1552		1098	2403		1239	781
0	0		6	0		0	0		0	5		0	0		174	0		0	1493		2391	1236		687	745
6	6		1107	1070		0	2		0	0		0	0		0	0		0	0		0	0		0	0
0	0		0	0		760	940		6	7		6	1003		6	409		0	0		2	0		602	844
80	79		0	0		224	199		2075	726		4021	2887		2647	4334		3383	1336		1167	2569		1530	1532
1021	934		0	0		0	0		0	1323		0	0		2933	376		753	2115		2705	1107		766	754
0	0		6	0		0	0		0	0		0	0		0	0		0	4		0	5		0	0
6	6		1010	292		0	0		0	0		0	0		0	0		0	0		0	0		0	0
0	0		0	747		6	11		6	6		6	130		6	6		0	0		0	0		680	973
0	0		0	0		1312	1037		1926	0		3412	3579		0	3609		2330	863		1212	2684		924	728
86	75		0	0		0	0		206	2124		320	0		4928	1368		1568	3051		2578	1097		1601	1394
1016	990		6	0		0	0		0	0		0	0		10	0		0	0		0	0		3	0
6	6		9	6		0	0		0	0		0	0		0	0		0	0		0	0		0	0
0	0		1053	9		6	6		6	6		6	6		6	6		0	0		0	0		3	3
0	0		0	1127		9	9		3	0		3	18		0	3		6	6		3	6		593	808
0	0		0	0		1338	1099		6	9		2467	3920		5	3414		1529	9		357	1756		1062	745
9	9		6	0		0	0		2158	2025		1488	0		2973	1870		2625	4640		3131	1929		1338	1246
86	76		0	6		0	0		0	2		0	0		2141	0		0	0		115	0		427	259
1018	1001		9	0		6	6		6	6		6	6		6	6		0	0		0	0		1	0
0	0		0	9		0	2		0	0		0	0		0	0		6	6		0	3		2	3
0	0		1071	0		10	10		0	0		0	9		0	0		0	0		5	3		3	0
0	0		6	1105		0	0		9	10		9	0		0	9		9	9		8	9		5	3
6	6		0	6		1095	1091		0	0		1049	3827		9	2267		43	0		4	287		1540	1494
9	9		0	0		6	6		2074	936		3140	6		139	2841		4055	3748		2244	3152		751	1056
0	0		0	0		0	0		0	1233		0	0		5074	0		8	6		2038	350		816	873
77	76		8	0		0	0		0	0		0	0		389	0		0	0		4	0		0	0
1028	992		7	12		0	0		0	0		0	0		0	0		0	0		0	0		0	0
6	6		0	6		9	9		0	0		0	9		0	0		0	0		0	0		3	3
