14	14
8520	14
15323	5287
5075	4276
3353	22
11378	22
14500	20
233	1649
7715	4786
13135	4865
7620	5310
5995	4213
13915	4359
4106	5242
270	4044
10956	4704
13525	5334
5253	4750
6042	5285
11265	4782
14556	5471
563	3868
9784	4891
12217	4426
4789	4544
3371	4635
11249	5135
13272	4726
3031	4875
11650	4152
12870	4416
20	4212
3010	4663
12086	4984
13211	4006
2430	5645
8678	5693
13315	4474
1096	4776
7894	5853
12044	5179
9584	5443
766	5532
8431	5286
13051	4774
8892	6245
7726	5757
11844	4939
6804	5074
670	5364
10082	5434
13277	5050
6731	6111
8174	6153
12750	5140
2505	5598
794	4939
9600	4532
13280	6307
6885	6178
5493	4617
11224	5093
11786	5676
714	5803
9389	4671
12381	5480
4697	5987
8880	4953
13585	5041
7826	6564
1963	4789
10252	5687
12722	6356
6492	5553
7084	4867
12476	6215
11048	5966
1224	4913
8634	5376
13699	5819
7248	4698
6506	5811
13048	5536
2957	5071
1259	5651
11403	6329
13962	5924
3993	4684
8175	5480
12090	5724
3727	5260
2998	5662
9504	5688
11905	4981
7719	5785
7766	6178
12310	5954
5549	4486
5117	6319
10428	4881
