19	    18
0	    0
4837	0
11230	10376
7370	8417
7486	7137
4224	5648
12641	9870
7427	7153
6689	8685
6857	9373
9233	7399
6314	6104
6807	6603
8695	10857
7118	7619
6224	4561
11557	11057
7387	7586
7281	7831
5829	8092
11188	8498
6638	7534
7704	5562
8929	11375
7749	7029
8522	6917
7136	7332
7326	7662
7786	6079
7516	7356
7334	7580
6666	8012
7480	6234
8336	8485
7657	8535
7305	7274
8255	8339
7603	8990
8740	7184
8079	6776
7036	8656
5979	7170
7620	7562
8550	7860
5831	8191
6116	7923
8274	5791
4813	8106
6993	5222
6027	5239
5164	8041
5763	4581
6347	5286
5218	5884
3977	3587
5705	3548
6059	4867
4843	2601
4590	1736
7491	3628
4122	4479
9803	3072
7017	4842
6433	5161
8156	5959
9672	5628
12601	6505
5999	4961
8976	6071
12934	7308
8671	5119
9695	7215
14670	6646
11208	5562
8285	5615
11421	6760
13310	6556
7693	6148
6853	7693
10231	6631
11113	5921
16236	7340
12403	6767
10016	6557
12533	6187
11945	7864
14204	5680
17931	6192
6823	5990
10398	7050
14453	5415
9780	6288
14916	5790
17298	5824
12643	5641
5662	5514
10524	4998
11832	6209
11995	5419
